0,22,0,-0.0496658,-0.0333364
1,26,0.001,0.0143473,0.0343606
2,26,0.002,-0.000838962,-0.000442743
3,25,0.003,-0.0411949,0.0375234
4,24,0.005,-0.0440435,-0.0386133
5,26,0.006,0.0255387,0.0290791
6,26,0.007,0.0322203,0.0262291
7,25,0.009,0.0328118,-0.0318017
8,26,0.011,0.0080787,-0.0212875
9,27,0.013,0.0218483,0.00416354
10,26,0.016,-0.0233489,-0.0248052
11,27,0.018,-0.00069735,-0.0203617
12,27,0.02,-0.0186738,0.0498588
13,26,0.022,-0.0230992,-0.0276603
14,27,0.025,0.0131725,-0.00916162
15,27,0.027,0.0206995,-0.00414371
16,26,0.029,-0.0432572,-0.0232653
17,26,0.031,-0.0193035,-0.0343985
18,27,0.033,-0.0363332,0.0487278
19,27,0.036,-0.0327036,0.0499612
20,28,0.038,-0.00143959,0.00489722
21,28,0.04,0.00759912,0.0182942
22,25,0.043,-0.0301569,-0.0463128
23,28,0.046,0.0208025,0.0269944
24,26,0.048,-0.00528442,-0.015233
25,27,0.05,-0.020673,0.0491464
26,27,0.052,0.00296832,-0.0114779
27,26,0.054,-0.00938538,-0.0401425
28,27,0.057,0.0242923,-0.0200766
29,27,0.059,-0.0268141,0.0360968
30,26,0.061,-0.021313,-0.00687239
31,26,0.063,-0.00433315,-0.0272934
32,27,0.065,-0.0203818,0.0428044
33,28,0.068,0.0143705,0.0242946
34,28,0.07,0.0195335,-0.000914487
35,26,0.072,0.0301929,-0.0471303
36,26,0.074,-0.0186071,-0.0299952
37,26,0.077,-0.0297863,-0.0181633
38,27,0.079,0.029844,-0.0114139
39,27,0.081,-0.033341,0.0377341
40,28,0.083,-0.00220128,0.00310154
41,28,0.087,0.0275508,0.0470414
42,28,0.089,0.0241525,0.0315039
43,27,0.091,-0.0132132,0.0250923
44,27,0.093,0.0268514,-0.00796648
45,28,0.096,0.00742131,0.0299422
46,27,0.098,0.0383511,-0.0332129
47,27,0.1,-0.00945003,-0.0265874
48,28,0.103,0.0458489,-0.0174957
49,28,0.105,0.0498475,-0.0126499
50,28,0.107,-0.00712024,0.0300716
51,28,0.11,0.0139683,-0.035407
52,28,0.112,0.013843,-0.0403396
53,28,0.114,0.0127245,-0.0386047
54,28,0.116,-0.0289918,0.0351011
55,29,0.119,0.0439044,0.00209619
56,28,0.121,0.0307303,-0.0155095
57,29,0.124,0.0310647,0.00509145
58,28,0.126,-0.0279268,0.0344897
59,28,0.129,-0.0318844,0.0192441
60,28,0.132,0.0352874,-0.0250861
61,28,0.134,-0.021917,0.0403223
62,28,0.136,-0.00238238,-0.0407034
63,28,0.139,-0.00178532,-0.00580864
64,28,0.141,-0.0257447,0.00893821
65,28,0.143,0.0245013,-0.00709411
66,28,0.146,-0.030693,0.0434833
67,29,0.148,0.0242878,0.0058719
68,28,0.15,-0.0110579,0.0496592
69,28,0.153,0.0228688,-0.0439193
70,29,0.155,0.0476376,0.0459569
71,28,0.157,-0.00255988,-0.0239283
